"intercept" "drugB" "time2" "time3" "time6" "drugB:time2" "drugB:time3" "drugB:time6"
"71" 1.38799863527018 -0.064 -0.356 -0.464 -0.09 0.316 0.148 -0.0900000000000001
"72" 1.38799906406914 -0.064 -0.356 -0.464 -0.09 0.316 0.148 -0.09
"73" 1.3879993584357 -0.064 -0.356 -0.464 -0.0899999999999999 0.316 0.148 -0.09
"74" 1.38799956041017 -0.0639999999999999 -0.356 -0.464 -0.09 0.316 0.148 -0.09
"75" 1.38799969892349 -0.064 -0.356 -0.464 -0.09 0.316 0.148 -0.0900000000000001
"76" 1.38799979387158 -0.064 -0.356 -0.464 -0.0900000000000001 0.316 0.148 -0.09
"77" 1.3879998589283 -0.0639999999999999 -0.356 -0.464 -0.09 0.316 0.148 -0.0899999999999999
"78" 1.38799990348571 -0.064 -0.356 -0.464 -0.0899999999999999 0.316 0.148 -0.0900000000000001
"79" 1.38799993399133 -0.064 -0.356 -0.464 -0.09 0.316 0.148 -0.09
"80" 1.38799995486893 -0.064 -0.356 -0.464 -0.0899999999999999 0.316 0.148 -0.0899999999999999
"81" 1.38799996915232 -0.0639999999999999 -0.356 -0.464 -0.09 0.316 0.148 -0.0900000000000002
"82" 1.38799997892108 -0.064 -0.356 -0.464 -0.0899999999999999 0.316 0.148 -0.0900000000000001
"83" 1.3879999856001 -0.064 -0.356 -0.464 -0.09 0.316 0.148 -0.09
"84" 1.3879999901653 -0.064 -0.356 -0.464 -0.09 0.316 0.148 -0.0899999999999999
"85" 1.38799999328479 -0.064 -0.356 -0.464 -0.0899999999999999 0.316 0.148 -0.09
"86" 1.38799999541584 -0.0639999999999999 -0.356 -0.464 -0.0900000000000001 0.316 0.148 -0.0899999999999999
"87" 1.38799999687128 -0.064 -0.356 -0.464 -0.09 0.316 0.148 -0.09
"88" 1.38799999786506 -0.064 -0.356 -0.464 -0.09 0.316 0.148 -0.0899999999999998
"89" 1.38799999854347 -0.064 -0.356 -0.464 -0.0900000000000001 0.316 0.148 -0.0899999999999999
"90" 1.38799999900649 -0.064 -0.356 -0.464 -0.09 0.316 0.148 -0.0900000000000001
"91" 1.38799999932244 -0.0639999999999999 -0.356 -0.464 -0.0899999999999999 0.316 0.148 -0.0900000000000001
"92" 1.38799999953799 -0.064 -0.356 -0.464 -0.09 0.316 0.148 -0.0900000000000001
"93" 1.38799999968501 -0.064 -0.356 -0.464 -0.0899999999999999 0.316 0.148 -0.09
"94" 1.38799999978529 -0.064 -0.356 -0.464 -0.09 0.316 0.148 -0.0899999999999999
"95" 1.38799999985366 -0.0639999999999999 -0.356 -0.464 -0.0899999999999999 0.316 0.148 -0.0900000000000002
